brand,category,condition,original_price,resale_price
Max,Accessories,Fair,1000,200
Charles & Keith,Men's Tops,Fair,3400,700
Louis Philippe,Women's Traditional,Good,4300,1850
Vans,Women's Tops,Well Loved,4000,700
Clarks,Women's Outerwear,Fair,8600,3050
Levi's,Men's Bottoms,Like New,3900,2600
AND,Women's Bottoms,Like New,8400,5000
Rangmanch,Women's Outerwear,Fair,1000,300
Nike,Men's Bottoms,Good,4100,1600
Rohit Bal,Footwear,Good,40000,18500
Payal Singhal,Women's Traditional,Fair,25700,7250
Allen Solly,Women's Tops,Like New,3800,2450
Arrow,Women's Dresses,Well Loved,1200,150
Reformation,Women's Tops,New with tags,12600,10950
Hidesign,Men's Formal,Good,18700,9400
Arrow,Women's Traditional,Good,4200,2250
Thrift,Women's Traditional,Good,750,350
Puma,Men's Tops,Fair,3100,800
Anita Dongre,Women's Tops,Good,31100,11600
Accessorize,Jewelry,Like New,3800,2400
ARKET,Women's Tops,New with tags,13900,11300
Park Avenue,Men's Bottoms,Good,3100,1100
Toteme,Women's Tops,Good,18200,7250
Sabyasachi,Women's Tops,Good,146000,50650
Louis Philippe,Accessories,Like New,1800,1150
Nike,Men's Outerwear,Fair,6500,1800
Anita Dongre,Women's Outerwear,Good,13200,7550
Reebok,Women's Traditional,Like New,5700,4200
Max,Women's Traditional,Well Loved,2000,350
Chemistry,Men's Outerwear,New with tags,1200,1080
Rangmanch,Footwear,Fair,4400,1000
Converse,Women's Tops,Like New,5000,2850
Anita Dongre,Women's Tops,Well Loved,21600,2950
Ralph Lauren,Women's Outerwear,Well Loved,17000,2800
Westside,Women's Outerwear,Like New,1600,950
Shantanu & Nikhil,Women's Bottoms,Good,10700,4700
Chemistry,Men's Outerwear,Like New,3700,3000
Sabyasachi,Men's Bottoms,Well Loved,47300,5900
Aurelia,Women's Dresses,Good,3100,1100
Max,Women's Sets,Well Loved,1300,200
New Balance,Women's Traditional,Well Loved,8700,1050
Vero Moda,Women's Tops,Fair,5600,1150
Charles & Keith,Men's Bottoms,Fair,4700,1100
Ritu Wear,Men's Formal,Good,5000,2300
Calvin Klein,Women's Traditional,Like New,8900,5400
Monte Carlo,Men's Tops,Like New,2200,1300
New Balance,Women's Tops,Good,8900,3300
Pantaloons,Women's Outerwear,Like New,1200,850
Mango,Women's Bottoms,Good,5100,2300
Baggit,Men's Tops,Good,5100,1700
Aurelia,Men's Bottoms,Like New,2000,1250
Baggit,Women's Bottoms,Like New,5200,3350
Anamika Khanna,Footwear,Like New,9400,6700
Payal Singhal,Men's Tops,Like New,11400,5750
Mango,Women's Tops,Good,8200,3200
Chemistry,Men's Outerwear,Like New,4100,2650
Puma,Women's Tops,Fair,6200,1700
Van Heusen,Women's Tops,Fair,3300,800
Payal Singhal,Men's Formal,Like New,9800,6800
Jaypore,Women's Bottoms,Good,6800,2600
Jaypore,Men's Tops,Good,5400,2150
COS,Women's Tops,Good,12300,5500
Steve Madden,Men's Tops,Like New,6800,4200
Nine West,Footwear,Fair,7800,2050
No Brand,Women's Dresses,Fair,1100,300
Puma,Jewelry,Like New,4600,2900
Nike,Men's Formal,Good,4000,1750
Local Brand,Women's Dresses,Well Loved,1350,150
Levi's,Men's Formal,Good,6400,2400
Sangria,Men's Outerwear,Like New,1100,800
Abu Jani Sandeep Khosla,Women's Traditional,Fair,96100,30250
Allen Solly,Men's Formal,Well Loved,4600,650
Reformation,Women's Tops,Fair,8300,2000
Tarun Tahiliani,Women's Tops,Good,74200,25650
Abu Jani Sandeep Khosla,Women's Dresses,Good,77000,35200
Accessorize,Men's Bottoms,Like New,2500,1400
Ritu Wear,Men's Outerwear,Like New,8400,5750
Reebok,Men's Tops,Good,2000,700
Accessorize,Women's Bottoms,Fair,3200,750
Reebok,Women's Outerwear,Fair,4700,1600
Rohit Bal,Women's Tops,Fair,79700,20000
Zara,Women's Tops,Fair,3100,750
Tribe Amrapali,Women's Traditional,New with tags,1600,1400
Ritu Wear,Women's Traditional,New with tags,1600,1440
Vans,Men's Formal,Good,6700,3600
Adidas,Women's Tops,Good,4100,1700
No Brand,Women's Bottoms,Good,200,100
Monte Carlo,Men's Bottoms,Good,3100,1050
Park Avenue,Men's Bottoms,Good,3100,1150
Manish Malhotra,Women's Dresses,Good,101400,44200
& Other Stories,Women's Traditional,Well Loved,10400,1600
Jaypore,Women's Tops,Fair,4100,1000
Sangria,Women's Traditional,Like New,3000,1750
Anju Modi,Women's Tops,Fair,24600,6100
Allen Solly,Women's Sets,Fair,2100,500
Peter England,Men's Formal,Fair,3900,1150
Anamika Khanna,Men's Outerwear,Like New,24800,17200
Baggit,Women's Traditional,Good,4400,1750
Reliance Trends,Women's Bottoms,New with tags,1250,1050
Reformation,Women's Outerwear,Good,18100,9500
Lacoste,Women's Bottoms,Good,8800,3250
Anita Dongre,Men's Outerwear,Fair,37200,10250
New Balance,Footwear,Like New,10000,6600
Ritu Kumar,Women's Outerwear,Fair,9000,2650
Jaypore,Women's Dresses,New with tags,5100,3800
Rangmanch,Women's Bottoms,Good,2300,800
Calvin Klein,Women's Bottoms,Like New,12400,6950
Tommy Hilfiger,Footwear,Good,11000,5050
Masaba Gupta,Women's Tops,Good,23900,9550
Aldo,Men's Bottoms,Like New,3200,1800
Arrow,Bags,Fair,3000,750
Global Desi,Bags,Good,7900,2950
Amrapali,Accessories,Good,17300,6200
Anju Modi,Women's Outerwear,Good,24200,9950
ASOS,Women's Tops,Good,1600,500
Forever 21,Women's Sets,Good,600,300
Anju Modi,Footwear,Good,14200,6900
Charles & Keith,Men's Outerwear,Like New,6200,4450
Max,Women's Bottoms,Fair,1100,250
Westside,Men's Bottoms,Like New,3100,2100
Van Heusen,Bags,Well Loved,2200,300
Marks & Spencer,Footwear,Fair,2000,450
FabIndia,Men's Bottoms,Good,3300,1200
Converse,Women's Bottoms,Fair,7100,1550
Steve Madden,Women's Outerwear,Well Loved,5900,800
Arrow,Women's Traditional,Fair,3300,850
Nine West,Footwear,Well Loved,6000,1000
Reebok,Men's Outerwear,Like New,6900,5800
Vans,Women's Traditional,Like New,3700,2450
ASOS,Bags,Good,2400,1050
Shantanu & Nikhil,Women's Traditional,Like New,13600,9600
Local Brand,Women's Tops,Well Loved,1650,150
Puma,Men's Bottoms,Good,4700,1800
Shantanu & Nikhil,Jewelry,Good,21700,9700
Tarun Tahiliani,Women's Tops,Fair,94900,21750
Lacoste,Women's Bottoms,New with tags,11200,8200
New Balance,Men's Tops,New with tags,6600,4250
Nanushka,Women's Bottoms,Well Loved,25500,3850
Masaba Gupta,Women's Tops,Fair,20200,4600
Reebok,Women's Tops,Like New,5500,3400
No Brand,Women's Bottoms,Good,800,250
Anatomy,Women's Tops,Good,1600,600
Anita Dongre,Bags,Good,26900,10600
Charles & Keith,Men's Tops,Fair,2800,700
Vintage,Women's Bottoms,Like New,0,2400
& Other Stories,Women's Tops,Like New,13300,8350
Chemistry,Men's Tops,Well Loved,1800,150
V-Mart,Footwear,Well Loved,1500,200
Lacoste,Bags,Like New,11600,7450
Sangria,Women's Outerwear,New with tags,2000,1750
Baggit,Women's Sets,Good,4200,1750
Peter England,Women's Tops,Good,3100,1100
Steve Madden,Jewelry,Good,7900,3500
Marks & Spencer,Men's Tops,Good,3400,1450
Amrapali,Men's Formal,New with tags,9700,8730
Tommy Hilfiger,Women's Outerwear,New with tags,4400,3600
Anatomy,Women's Bottoms,Like New,1900,1150
COS,Women's Traditional,Like New,10400,7600
Max,Men's Bottoms,Like New,2100,1300
Payal Singhal,Women's Tops,Fair,18600,5100
Ritu Kumar,Women's Outerwear,New with tags,24300,21870
Van Heusen,Women's Bottoms,New with tags,5500,4100
ASOS,Women's Bottoms,Like New,4700,2900
W,Women's Outerwear,Fair,3700,1200
Skechers,Men's Formal,Fair,3000,850
Vero Moda,Women's Outerwear,Like New,2100,1550
Lacoste,Men's Outerwear,Fair,5400,1450
Anamika Khanna,Women's Bottoms,Well Loved,36600,4800
ASOS,Women's Tops,Fair,4300,1000
Sabyasachi,Women's Bottoms,Good,193400,76050
Calvin Klein,Women's Tops,Well Loved,9000,1000
Baggit,Men's Bottoms,Good,3800,1550
Chemistry,Women's Traditional,Good,2000,1000
Reebok,Women's Sets,Good,6900,2850
Tribe Amrapali,Women's Sets,New with tags,1900,1600
Steve Madden,Women's Traditional,Fair,7900,2200
Tribe Amrapali,Men's Tops,Like New,8300,4350
Van Heusen,Women's Bottoms,Well Loved,2700,250
Van Heusen,Women's Tops,Fair,3500,650
Marks & Spencer,Men's Tops,Good,5600,2150
Ralph Lauren,Women's Tops,New with tags,9200,7650
Toteme,Bags,Fair,28700,7550
Jaypore,Women's Sets,Good,6000,2850
Manish Malhotra,Women's Tops,Good,147700,58650
Ralph Lauren,Women's Bottoms,Like New,15800,10500
Toteme,Men's Tops,Like New,19300,11450
Toteme,Women's Dresses,Like New,32200,19450
Sabyasachi,Men's Tops,Fair,98400,23050
ASOS,Women's Traditional,Like New,4600,3000
Toteme,Men's Bottoms,Good,26300,10350
Anamika Khanna,Women's Traditional,Like New,27900,18750
Louis Philippe,Women's Bottoms,Well Loved,1700,200
Arrow,Men's Outerwear,New with tags,3100,2790
Uniqlo,Bags,Like New,900,550
Amrapali,Accessories,Like New,19500,11450
Ritu Kumar,Women's Traditional,Good,28300,11700
Aurelia,Women's Traditional,New with tags,3200,2880
Vans,Men's Tops,Good,5400,2400
Reliance Trends,Men's Bottoms,Good,1300,450
Reliance Trends,Women's Traditional,Good,600,250
& Other Stories,Women's Tops,Well Loved,6200,950
AND,Bags,Good,3700,1600
Van Heusen,Men's Formal,Good,5800,2550
Local Brand,Bags,Good,1400,650
Steve Madden,Men's Bottoms,Well Loved,8000,1100
Tribe Amrapali,Women's Bottoms,Like New,4000,2150
Adidas,Bags,Well Loved,3100,400
Park Avenue,Women's Bottoms,Like New,5800,3400
Steve Madden,Women's Tops,Good,5600,2350
Abu Jani Sandeep Khosla,Women's Traditional,Good,55900,26900
Sangria,Men's Tops,Good,3300,1300
New Balance,Men's Bottoms,Well Loved,13200,1450
Steve Madden,Women's Traditional,Good,9900,4200
Local Brand,Men's Bottoms,Like New,1500,950
Toteme,Women's Tops,Like New,19200,12700
Max,Women's Outerwear,Fair,1700,550
AND,Women's Bottoms,Like New,2300,1450
Tribe Amrapali,Women's Traditional,Fair,2900,850
W,Footwear,Like New,2000,1400
& Other Stories,Women's Bottoms,Like New,13300,8800
Aldo,Men's Tops,Good,3900,1800
ARKET,Women's Outerwear,Like New,9000,6000
Sangria,Women's Traditional,Good,2200,1000
Tarun Tahiliani,Women's Tops,Good,97100,39100
FabIndia,Footwear,Like New,1500,1000
Anju Modi,Footwear,Good,14300,6300
Nike,Men's Bottoms,Like New,9100,5250
New Balance,Men's Formal,Good,11100,4350
Tommy Hilfiger,Men's Formal,Well Loved,9100,1400
AND,Footwear,Fair,2900,750
Max,Women's Traditional,Good,1300,500
Nike,Footwear,Good,2400,1200
Ralph Lauren,Men's Outerwear,Well Loved,5900,1050
Allen Solly,Men's Tops,New with tags,1300,1000
Lacoste,Men's Bottoms,New with tags,5900,4800
Mango,Women's Tops,New with tags,3800,3150
& Other Stories,Men's Bottoms,Like New,7700,4950
Anatomy,Jewelry,Well Loved,1600,200
Global Desi,Men's Bottoms,Good,4800,1800
Zara,Women's Sets,Good,4800,1750
Amrapali,Accessories,Like New,18200,9400
Steve Madden,Women's Tops,Like New,7900,4650
V-Mart,Women's Bottoms,Good,1000,350
Westside,Men's Tops,Fair,3200,650
Toteme,Women's Bottoms,Good,22700,10300
Anju Modi,Footwear,Good,17600,7550
Anatomy,Men's Outerwear,Like New,2900,2100
Tribe Amrapali,Women's Tops,New with tags,2400,1800
Peter England,Women's Bottoms,Well Loved,3000,400
Anju Modi,Accessories,Good,25300,10350
Aldo,Women's Dresses,Like New,4700,2750
Aldo,Women's Tops,Like New,7800,4650
Ralph Lauren,Women's Tops,Like New,15700,7850
Reliance Trends,Women's Outerwear,Well Loved,950,200
Sangria,Women's Bottoms,Fair,4000,950
FabIndia,Women's Traditional,Like New,5900,4650
Marks & Spencer,Women's Traditional,New with tags,4000,3600
Accessorize,Men's Formal,Like New,3500,1950
Aurelia,Men's Tops,Good,1200,400
Reebok,Women's Bottoms,Good,3200,1200
Ralph Lauren,Women's Tops,Good,8300,3150
Masaba Gupta,Women's Dresses,Like New,13000,8700
Jaypore,Women's Traditional,Like New,3100,2050
Nine West,Women's Sets,Fair,8600,2250
Vero Moda,Accessories,Like New,1300,750
Under Armour,Women's Traditional,New with tags,7600,6840
No Brand,Jewelry,Good,600,300
Masaba Gupta,Women's Traditional,New with tags,7700,6650
Tommy Hilfiger,Men's Tops,New with tags,10800,7250
Anju Modi,Women's Tops,New with tags,11600,9300
Vintage,Women's Traditional,Good,0,1550
Allen Solly,Women's Traditional,New with tags,3200,2750
Reliance Trends,Jewelry,Like New,1100,800
W,Bags,Good,5800,2700
Arrow,Women's Traditional,Like New,4300,2900
Max,Footwear,Good,1000,350
Tribe Amrapali,Women's Outerwear,Like New,8700,6900
Under Armour,Women's Bottoms,Like New,2300,1200
Abu Jani Sandeep Khosla,Men's Bottoms,Good,56500,25000
W,Men's Outerwear,Like New,800,500
Monte Carlo,Women's Traditional,Like New,3100,2250
Vans,Women's Sets,Good,7700,3300
Uniqlo,Women's Traditional,Like New,5100,3500
Rohit Bal,Women's Tops,Like New,42300,22450
No Brand,Men's Bottoms,Well Loved,750,100
ASOS,Women's Tops,Fair,3100,700
Tribe Amrapali,Women's Bottoms,Like New,6700,4400
Lacoste,Women's Traditional,Like New,9300,6650
Vero Moda,Women's Outerwear,Well Loved,5300,950
Vintage,Men's Formal,Fair,0,1000
Adidas,Women's Traditional,Good,3900,1600
Converse,Men's Bottoms,Like New,4700,2800
V-Mart,Women's Tops,Good,1000,400
Aldo,Women's Bottoms,Good,3700,1800
Aldo,Women's Tops,Fair,7100,1650
Hidesign,Women's Tops,Like New,10700,6500
Marks & Spencer,Jewelry,Good,5000,2400
New Balance,Women's Tops,Like New,13700,9450
Biba,Women's Tops,Good,1700,600
Skechers,Women's Outerwear,Fair,4400,1250
H&M,Women's Traditional,Good,2800,1300
Clarks,Women's Tops,Like New,8300,5100
Payal Singhal,Women's Tops,Good,18500,7300
FabIndia,Women's Tops,Fair,2100,550
Aurelia,Men's Formal,Good,3300,1350
Westside,Accessories,Good,2000,850
V-Mart,Women's Bottoms,New with tags,1150,850
Skechers,Women's Traditional,Like New,2900,2150
Anita Dongre,Footwear,Like New,13900,8900
Nanushka,Women's Tops,Like New,15500,8450
Levi's,Men's Tops,New with tags,4000,3000
Chemistry,Men's Bottoms,Good,3200,1350
Abu Jani Sandeep Khosla,Women's Tops,Fair,99200,26250
Reformation,Women's Sets,Like New,20800,13300
Anju Modi,Men's Tops,Well Loved,17100,1900
Mango,Jewelry,Like New,8600,5000
Jaypore,Bags,Like New,6700,4450
Aurelia,Women's Outerwear,Good,2200,1250
Tommy Hilfiger,Women's Bottoms,Like New,11900,6950
Nanushka,Women's Tops,Like New,21000,10950
Manish Malhotra,Women's Bottoms,Like New,67900,37050
& Other Stories,Men's Tops,Good,8300,3100
Vero Moda,Women's Tops,Good,4000,1600
Masaba Gupta,Women's Bottoms,Good,9200,3700
Charles & Keith,Men's Bottoms,Good,4200,1500
Marks & Spencer,Women's Bottoms,Well Loved,6700,700
W,Women's Tops,Well Loved,3800,600
Tarun Tahiliani,Women's Tops,Good,116400,44150
Anita Dongre,Footwear,New with tags,34100,30690
Aldo,Men's Tops,Good,6500,2950
Westside,Men's Tops,Good,1600,500
Local Brand,Bags,Like New,700,500
Charles & Keith,Women's Dresses,Well Loved,3500,550
AND,Women's Dresses,Well Loved,2600,300
Thrift,Men's Outerwear,Like New,700,550
Chemistry,Men's Bottoms,Like New,1600,850
Max,Men's Bottoms,New with tags,800,550
Anita Dongre,Women's Tops,Good,24400,8800
Peter England,Women's Traditional,Well Loved,2800,500
Anamika Khanna,Women's Traditional,New with tags,34600,27050
Hidesign,Women's Sets,Like New,13400,8350
FabIndia,Women's Bottoms,Like New,6300,4000
Lacoste,Women's Bottoms,Well Loved,13500,1900
Monte Carlo,Women's Traditional,Like New,2400,1450
Tribe Amrapali,Women's Bottoms,Good,6600,2750
Tribe Amrapali,Men's Formal,Like New,3000,2150
Uniqlo,Women's Bottoms,Like New,2700,1900
Puma,Women's Dresses,Good,4100,1700
New Balance,Women's Traditional,Fair,5100,1400
Chemistry,Men's Tops,New with tags,3600,2800
Biba,Women's Dresses,Good,6400,2700
Levi's,Women's Bottoms,Fair,7300,1650
Biba,Bags,Good,5800,2350
Ralph Lauren,Women's Tops,New with tags,11000,7800
Reliance Trends,Women's Tops,Good,1300,500
Adidas,Women's Tops,Like New,8000,5050
Ritu Kumar,Women's Bottoms,Like New,24200,14950
Forever 21,Women's Bottoms,Good,3400,1300
Vintage,Men's Bottoms,Good,0,1600
Under Armour,Men's Tops,Good,2200,850
Mango,Women's Bottoms,Like New,7000,4000
New Balance,Women's Sets,Fair,7000,1800
Shantanu & Nikhil,Women's Bottoms,Like New,33600,17450
Converse,Women's Dresses,Well Loved,4000,450
Forever 21,Women's Dresses,Good,4000,1400
Thrift,Women's Tops,Like New,900,450
Puma,Men's Bottoms,Fair,5100,1000
Sangria,Bags,Well Loved,2300,350
Reebok,Women's Dresses,Fair,6800,1700
Rangmanch,Men's Bottoms,Fair,1400,300
Converse,Men's Tops,Like New,4100,2700
Lacoste,Women's Tops,Like New,7100,3750
V-Mart,Women's Bottoms,Like New,1450,850
Van Heusen,Footwear,Good,5300,2300
V-Mart,Women's Traditional,Fair,750,250
Nike,Women's Sets,Good,7200,2900
Peter England,Women's Tops,Like New,2200,1350
Calvin Klein,Men's Bottoms,New with tags,7200,4900
AND,Women's Bottoms,Like New,8000,4650
Skechers,Men's Outerwear,Like New,7400,5650
Sabyasachi,Bags,Good,70100,33950
Calvin Klein,Men's Tops,Good,9900,3250
Forever 21,Women's Bottoms,Good,2100,750
Monte Carlo,Jewelry,Like New,4500,3000
Levi's,Women's Bottoms,Good,8400,2950
ARKET,Footwear,Well Loved,16900,2850
Lacoste,Women's Traditional,Like New,8300,5900
Sabyasachi,Accessories,Like New,147900,77750
Hidesign,Men's Bottoms,Like New,14800,9600
Hidesign,Women's Outerwear,Like New,15800,10550
Accessorize,Women's Outerwear,Well Loved,3100,500
Accessorize,Women's Dresses,New with tags,700,600
Thrift,Women's Bottoms,Good,1400,650
New Balance,Women's Bottoms,New with tags,6100,5400
ARKET,Women's Traditional,Good,6400,3250
Park Avenue,Men's Tops,Good,2600,950
Tarun Tahiliani,Jewelry,Fair,47800,12000
Rangmanch,Women's Dresses,Fair,3400,900
Nanushka,Women's Outerwear,Like New,22000,17600
Tommy Hilfiger,Women's Outerwear,Like New,5500,4050
ASOS,Men's Bottoms,Fair,3200,750
Westside,Women's Tops,Good,2000,850
ASOS,Women's Sets,Like New,800,500
W,Women's Outerwear,Good,2100,1000
Max,Women's Outerwear,Like New,2400,1700
Chemistry,Men's Formal,Like New,2500,1600
AND,Women's Bottoms,Fair,5400,1500
Converse,Men's Bottoms,Good,4700,1850
Calvin Klein,Men's Tops,Good,7600,2800
& Other Stories,Men's Formal,Well Loved,5200,600
Aurelia,Women's Traditional,Good,4600,1900
New Balance,Women's Dresses,Like New,9700,5600
Arrow,Women's Sets,Like New,4400,2600
Arrow,Women's Sets,Good,4700,2050
COS,Women's Sets,Like New,13500,8850
Biba,Men's Outerwear,Well Loved,1300,200
Ritu Wear,Men's Bottoms,Like New,5900,3750
Levi's,Women's Tops,Well Loved,4800,550
Sangria,Women's Bottoms,Good,2500,1250
Forever 21,Women's Traditional,New with tags,3200,2880
& Other Stories,Women's Dresses,Like New,12700,7450
Levi's,Women's Traditional,Fair,3300,900
Vans,Bags,Like New,6200,4450
Nike,Men's Tops,Well Loved,6500,1050
Amrapali,Women's Bottoms,Well Loved,9400,1300
Skechers,Footwear,Good,4900,2050
Vero Moda,Men's Bottoms,Like New,5300,2550
Steve Madden,Women's Bottoms,Good,7600,2700
Anatomy,Women's Outerwear,Well Loved,2100,300
Amrapali,Women's Sets,Good,8500,3550
Charles & Keith,Women's Dresses,Like New,5700,3050
Under Armour,Men's Bottoms,Like New,3000,2000
Masaba Gupta,Women's Tops,Like New,7600,3900
Payal Singhal,Bags,Fair,11200,3100
Pantaloons,Women's Dresses,Good,1400,650
Vintage,Women's Outerwear,Like New,0,2250
Thrift,Men's Tops,Like New,1300,750
Acne Studios,Women's Traditional,Well Loved,24500,3100
Payal Singhal,Women's Tops,Well Loved,17600,2350
Local Brand,Women's Tops,Good,750,300
Marks & Spencer,Women's Outerwear,Like New,4300,3300
Converse,Women's Tops,Fair,5600,1200
Max,Women's Traditional,Like New,2200,1350
Charles & Keith,Women's Dresses,Good,3900,1400
Shantanu & Nikhil,Footwear,New with tags,13400,11700
Local Brand,Jewelry,Good,350,150
Lacoste,Men's Outerwear,Good,7500,3300
Uniqlo,Women's Tops,Fair,3500,700
Zara,Women's Tops,Good,4200,1700
Skechers,Men's Bottoms,Good,6900,2450
Sangria,Men's Formal,Like New,3000,1800
Tribe Amrapali,Women's Dresses,Fair,4800,1050
Aurelia,Women's Sets,New with tags,2100,1700
No Brand,Men's Tops,Like New,550,300
AND,Women's Tops,Good,5800,1800
Anita Dongre,Women's Dresses,Good,23400,10100
Charles & Keith,Men's Formal,Good,4700,1650
Local Brand,Women's Traditional,Good,1650,650
Nike,Men's Bottoms,Good,6100,2700
V-Mart,Men's Bottoms,Good,800,350
Baggit,Women's Outerwear,Good,2700,1450
ARKET,Men's Formal,New with tags,6900,6000
Park Avenue,Men's Tops,Fair,5300,1450
Vans,Women's Dresses,Like New,6200,4550
Pantaloons,Women's Tops,Like New,2500,1600
Under Armour,Men's Outerwear,Fair,6800,1750
Tommy Hilfiger,Women's Dresses,Like New,7700,4750
Abu Jani Sandeep Khosla,Women's Bottoms,Good,82600,33250
Shantanu & Nikhil,Women's Sets,Good,34600,14550
AND,Women's Sets,Fair,1400,400
Max,Men's Tops,Like New,600,300
Reebok,Women's Tops,Fair,6600,1500
Amrapali,Women's Tops,Fair,8300,2100
Pantaloons,Accessories,New with tags,3400,2150
Aurelia,Women's Tops,Fair,1300,300
Manish Malhotra,Women's Bottoms,Fair,53800,13400
Nanushka,Men's Tops,Like New,11500,6050
Masaba Gupta,Men's Tops,Like New,15700,8350
& Other Stories,Women's Tops,Like New,12700,7750
Levi's,Women's Traditional,Well Loved,8600,1450
Levi's,Women's Traditional,Like New,8400,5650
Van Heusen,Men's Bottoms,Like New,2400,1450
Masaba Gupta,Men's Bottoms,Good,15900,7700
Forever 21,Women's Tops,Good,1600,600
Under Armour,Men's Formal,Fair,3400,850
Global Desi,Men's Outerwear,Like New,4700,3550
V-Mart,Women's Tops,Like New,900,500
W,Women's Tops,Like New,3900,2650
H&M,Women's Tops,Well Loved,1700,200
Nine West,Women's Bottoms,Fair,7100,1650
Vintage,Jewelry,Good,0,2000
Park Avenue,Footwear,Good,2600,1100
Amrapali,Accessories,New with tags,14400,9200
Marks & Spencer,Women's Tops,Like New,4200,2750
Van Heusen,Footwear,Like New,2400,1400
Thrift,Women's Bottoms,Like New,450,250
Ritu Kumar,Women's Traditional,Like New,22700,17250
Reliance Trends,Men's Tops,Good,400,150
Nike,Bags,Good,8100,4300
Global Desi,Women's Tops,Good,8600,3700
W,Women's Tops,Good,3200,1250
Vero Moda,Men's Outerwear,Well Loved,5900,1100
New Balance,Men's Bottoms,Fair,5300,1050
Chemistry,Men's Bottoms,Well Loved,2600,300
FabIndia,Accessories,Like New,2300,1300
Biba,Women's Tops,Like New,2400,1150
ARKET,Bags,Like New,11700,8100
Tarun Tahiliani,Women's Bottoms,Like New,46300,25050
Ritu Kumar,Bags,New with tags,26300,22450
Shantanu & Nikhil,Men's Tops,Fair,17600,3500
Nike,Women's Tops,New with tags,7500,6350
New Balance,Women's Tops,Like New,7400,4500
Peter England,Men's Tops,New with tags,2300,1550
Reformation,Women's Tops,Like New,24200,14100
Monte Carlo,Women's Traditional,Fair,4900,1550
Levi's,Women's Bottoms,Like New,8900,6150
Zara,Women's Outerwear,Like New,8100,5550
Only,Women's Tops,Good,3400,1150
Louis Philippe,Women's Traditional,Good,2900,1200
Rangmanch,Women's Traditional,Good,1100,600
Rohit Bal,Women's Sets,Fair,38000,10900
Nanushka,Women's Tops,Like New,17600,9450
AND,Women's Traditional,Good,1400,550
Under Armour,Bags,Good,2100,950
Pantaloons,Women's Tops,Fair,600,150
COS,Women's Bottoms,Fair,10200,2700
Anamika Khanna,Men's Tops,Good,14800,5350
Reebok,Footwear,Good,3000,1150
Anatomy,Women's Tops,Like New,4200,2700
Sabyasachi,Women's Traditional,Like New,108100,73700
Hidesign,Men's Bottoms,Like New,16600,9550
Reformation,Women's Tops,Like New,10400,6500
New Balance,Men's Bottoms,Like New,11600,7650
Thrift,Women's Bottoms,Fair,800,250
Tribe Amrapali,Men's Tops,Like New,2900,1650
Acne Studios,Women's Bottoms,Like New,27500,17700
Vans,Men's Bottoms,New with tags,7900,6400
FabIndia,Women's Sets,Like New,3200,1750
ARKET,Women's Outerwear,Well Loved,12600,2100
Forever 21,Women's Dresses,Like New,3200,2000
Park Avenue,Footwear,Like New,3900,2950
Van Heusen,Men's Tops,Like New,3400,2300
Chemistry,Women's Dresses,Like New,1700,1000
Monte Carlo,Accessories,Well Loved,1300,100
Sangria,Women's Tops,Good,800,350
Louis Philippe,Bags,Fair,7600,1950
Toteme,Men's Formal,Fair,34500,7950
Forever 21,Women's Bottoms,Well Loved,700,100
Louis Philippe,Women's Traditional,Like New,2700,1700
Payal Singhal,Jewelry,Like New,22000,16150
Manish Malhotra,Women's Outerwear,Like New,136700,90450
Tarun Tahiliani,Women's Tops,Good,56100,22350
Rangmanch,Women's Traditional,Good,3400,1400
Sangria,Jewelry,Like New,1100,700
Anju Modi,Women's Traditional,Fair,21400,5950
Anatomy,Women's Bottoms,Good,4300,2050
Max,Men's Bottoms,Fair,1700,400
AND,Women's Outerwear,Well Loved,8600,1750
Peter England,Women's Traditional,Well Loved,2000,200
Local Brand,Men's Outerwear,Well Loved,1050,150
& Other Stories,Footwear,Fair,6100,1750
Allen Solly,Footwear,Like New,4400,2850
Aldo,Women's Outerwear,Like New,5700,3950
Tarun Tahiliani,Women's Bottoms,Like New,107100,58250
Skechers,Men's Bottoms,Like New,4800,2700
Max,Men's Tops,Like New,1600,1050
Forever 21,Women's Traditional,Good,900,400
Tarun Tahiliani,Men's Outerwear,Good,80800,34300
Nanushka,Men's Tops,Good,21500,9700
Ralph Lauren,Accessories,Like New,5500,3150
Anatomy,Women's Bottoms,Like New,1400,900
Mango,Women's Traditional,Like New,9400,6250
Manish Malhotra,Women's Outerwear,Like New,50400,42050
Peter England,Men's Bottoms,Like New,1200,600
Lacoste,Men's Outerwear,Well Loved,7500,950
Aurelia,Women's Tops,New with tags,2800,1900
Vero Moda,Women's Traditional,New with tags,1600,1300
Anju Modi,Women's Tops,Fair,24100,5750
Toteme,Women's Sets,Well Loved,25700,2600
Abu Jani Sandeep Khosla,Men's Tops,Like New,67300,37550
Vero Moda,Women's Traditional,Like New,5800,4400
Aldo,Women's Outerwear,Fair,7800,1950
Reformation,Accessories,Like New,11700,6300
Abu Jani Sandeep Khosla,Women's Tops,New with tags,46600,37700
Levi's,Accessories,Like New,8000,4000
Only,Women's Tops,Well Loved,3000,300
Acne Studios,Men's Bottoms,Like New,29400,17950
Sabyasachi,Women's Dresses,Fair,154100,36050
Rangmanch,Bags,Fair,2000,500
ASOS,Footwear,Like New,3000,2150
Vintage,Women's Outerwear,Good,0,250
Levi's,Women's Traditional,New with tags,8800,7650
